log,cleaned_log,label,stage,severity,root_cause,log_length
"2026-04-04T21:57:38.000Z ##[group]Run CI for spring-projects/spring-boot
2026-04-04T21:57:38.000Z Runner image: macos-latest
2026-04-04T21:57:38.000Z Language: rust
2026-04-04T21:57:38.000Z Starting module cache
2026-04-04T21:57:38.000Z Traceback (most recent call last): ValueError: invalid state transition in cache
2026-04-04T21:57:38.000Z ##[error]Runtime exception in test process",2026-04-04t21:57:38.000z group run ci for spring-projects/spring-boot 2026-04-04t21:57:38.000z runner image: macos-latest 2026-04-04t21:57:38.000z language: rust 2026-04-04t21:57:38.000z starting module cache 2026-04-04t21:57:38.000z traceback most,Runtime Error,test,medium,Unhandled exception during job execution,
"2026-04-08T05:42:08.000Z ##[group]Run CI for tensorflow/tensorflow
2026-04-08T05:42:08.000Z Runner image: ubuntu-latest
2026-04-08T05:42:08.000Z Language: java
2026-04-08T05:42:08.000Z FAIL tests/integration/test_auth_flow.py
2026-04-08T05:42:08.000Z AssertionError: expected 9 but received 12
2026-04-08T05:42:08.000Z ##[error]Test suite failed with exit code 1",2026-04-08t05:42:08.000z group run ci for tensorflow/tensorflow 2026-04-08t05:42:08.000z runner image: ubuntu-latest 2026-04-08t05:42:08.000z language: java 2026-04-08t05:42:08.000z fail tests/integration/test_auth_flow.py 2026-04-08t05:42:08.000z assertionerror: expected 9,Test Failure,test,medium,Assertion mismatch in CI test suite,
"2026-04-02T01:40:40.000Z ##[group]Run CI for tensorflow/tensorflow
2026-04-02T01:40:40.000Z Runner image: macos-latest
2026-04-02T01:40:40.000Z Language: python
2026-04-02T01:40:40.000Z validating .github/workflows/ci.yml
2026-04-02T01:40:40.000Z workflow syntax error: Unexpected value 'stepz'
2026-04-02T01:40:40.000Z ##[error]Invalid workflow configuration",2026-04-02t01:40:40.000z group run ci for tensorflow/tensorflow 2026-04-02t01:40:40.000z runner image: macos-latest 2026-04-02t01:40:40.000z language: python 2026-04-02t01:40:40.000z validating .github/workflows/ci.yml 2026-04-02t01:40:40.000z workflow syntax error:,Configuration Error,build,high,Invalid workflow configuration or environment variable,266.0
"2026-04-01T22:56:36.000Z ##[group]Run CI for nodejs/node
2026-04-01T22:56:36.000Z Runner image: macos-latest
2026-04-01T22:56:36.000Z Language: go
2026-04-01T22:56:36.000Z helm upgrade --install api ./charts/api
2026-04-01T22:56:36.000Z Error: UPGRADE FAILED: timed out waiting for the condition
2026-04-01T22:56:36.000Z ##[error]Deployment failed in production stage",2026-04-01t22:56:36.000z group run ci for nodejs/node 2026-04-01t22:56:36.000z runner image: macos-latest 2026-04-01t22:56:36.000z language: go 2026-04-01t22:56:36.000z helm upgrade --install api ./charts/api 2026-04-01t22:56:36.000z,Deployment Error,deploy,high,Release or deployment command failed,233.0
"2026-04-01T17:24:10.000Z ##[group]Run CI for microsoft/vscode
2026-04-01T17:24:10.000Z Runner image: ubuntu-latest
2026-04-01T17:24:10.000Z Language: go
2026-04-01T17:24:10.000Z pytest -m integration --maxfail=1
2026-04-01T17:24:10.000Z Error: Process timed out after 30 minutes
2026-04-01T17:24:10.000Z ##[error]The operation was canceled",2026-04-01t17:24:10.000z group run ci for microsoft/vscode 2026-04-01t17:24:10.000z runner image: ubuntu-latest 2026-04-01t17:24:10.000z language: go 2026-04-01t17:24:10.000z pytest -m integration --maxfail 1 2026-04-01t17:24:10.000z,Timeout Error,test,medium,Long-running step exceeded CI timeout threshold,233.0
"2026-04-01T13:50:39.000Z ##[group]Run CI for vercel/next.js
2026-04-01T13:50:39.000Z Runner image: macos-latest
2026-04-01T13:50:39.000Z Language: go
2026-04-01T13:50:39.000Z Starting module scheduler
2026-04-01T13:50:39.000Z Traceback (most recent call last): ValueError: invalid state transition in scheduler
2026-04-01T13:50:39.000Z ##[error]Runtime exception in test process",2026-04-01t13:50:39.000z group run ci for vercel/next.js 2026-04-01t13:50:39.000z runner image: macos-latest 2026-04-01t13:50:39.000z language: go 2026-04-01t13:50:39.000z starting module scheduler 2026-04-01t13:50:39.000z traceback most,Runtime Error,test,medium,Unhandled exception during job execution,237.0
"2026-04-01T13:20:29.000Z ##[group]Run CI for spring-projects/spring-boot
2026-04-01T13:20:29.000Z Runner image: macos-latest
2026-04-01T13:20:29.000Z Language: java
2026-04-01T13:20:29.000Z ERROR: Module not found: Cannot resolve 'grpcio'
2026-04-01T13:20:29.000Z npm ERR! code E404
2026-04-01T13:20:29.000Z ##[error]Dependency installation failed",2026-04-01t13:20:29.000z group run ci for spring-projects/spring-boot 2026-04-01t13:20:29.000z runner image: macos-latest 2026-04-01t13:20:29.000z language: java 2026-04-01t13:20:29.000z error: module not found: cannot resolve,Dependency Error,build,high,Missing package or unresolved module dependency,226.0
"2026-04-08T15:26:18.000Z ##[group]Run CI for spring-projects/spring-boot
2026-04-08T15:26:18.000Z Runner image: windows-latest
2026-04-08T15:26:18.000Z Language: java
2026-04-08T15:26:18.000Z Pulling cache layer from registry
2026-04-08T15:26:18.000Z error: failed to solve: no space left on device
2026-04-08T15:26:18.000Z ##[error]Runner disk pressure caused job failure",2026-04-08t15:26:18.000z group run ci for spring-projects/spring-boot 2026-04-08t15:26:18.000z runner image: windows-latest 2026-04-08t15:26:18.000z language: java 2026-04-08t15:26:18.000z pulling cache layer from registry 2026-04-08t15:26:18.000z,Infrastructure Error,build,high,Runner or external service instability,
2026-04-10T11:35:00.8271759Z Parsing testcases for test report: unzipped-test-reports-test-default-2-3-macos-m1-stable_70759812103/test/test-reports/python-pytest/dynamo.test_error_messages/dynamo.test_error_messages-b95ad042b221ede4.xml 2026-04-10T11:35:00.8274586Z Parsing testcases for test report: unzipped-test-reports-test-default-2-3-macos-m1-stable_70759812103/test/test-reports/python-pytest/dynamo.test_error_messages/dynamo.test_error_messages-ecac384a00b150d1.xml 2026-04-10T11:35:00.8277845Z Parsing testcases for test report: unzipped-test-reports-test-default-2-3-macos-m1-stable_70759812103/test/test-reports/python-pytest/dynamo.test_exceptions/dynamo.test_exceptions-4a7a8f4077c62a04.xml 2026-04-10T11:35:00.8280974Z Parsing testcases for test report: unzipped-test-reports-test-default-2-3-macos-m1-stable_70759812103/test/test-reports/python-pytest/dynamo.test_exceptions/dynamo.test_exceptions-4a321b75ab84e628.xml 2026-04-10T11:35:12.0759371Z Writing 20 documents to S3 ossci-raw-job-status/failed_test_runs/24235846185/1,tz parsing testcases for test,Test Failure,test,medium,Assertion or test case failure,29.0
"2026-04-01T12:42:58.000Z ##[group]Run CI for vercel/next.js
2026-04-01T12:42:58.000Z Runner image: windows-latest
2026-04-01T12:42:58.000Z Language: java
2026-04-01T12:42:58.000Z make build-ci -j4
2026-04-01T12:42:58.000Z gcc: fatal error: cannot execute 'cc1plus': No such file or directory
2026-04-01T12:42:58.000Z ##[error]Build failed with exit code 2",2026-04-01t12:42:58.000z group run ci for vercel/next.js 2026-04-01t12:42:58.000z runner image: windows-latest 2026-04-01t12:42:58.000z language: java 2026-04-01t12:42:58.000z make build-ci -j4 2026-04-01t12:42:58.000z gcc: fatal,Build Failure,build,high,Compilation or packaging process failed,229.0
"2026-04-01T20:15:19.000Z ##[group]Run CI for tensorflow/tensorflow
2026-04-01T20:15:19.000Z Runner image: ubuntu-latest
2026-04-01T20:15:19.000Z Language: java
2026-04-01T20:15:19.000Z aws secretsmanager get-secret-value --secret-id docker-token
2026-04-01T20:15:19.000Z AccessDeniedException: User is not authorized to perform secretsmanager:GetSecretValue
2026-04-01T20:15:19.000Z ##[error]permission denied while accessing deployment secret",2026-04-01t20:15:19.000z group run ci for tensorflow/tensorflow 2026-04-01t20:15:19.000z runner image: ubuntu-latest 2026-04-01t20:15:19.000z language: java 2026-04-01t20:15:19.000z aws secretsmanager get-secret-value --secret-id docker-token 2026-04-01t20:15:19.000z,Permission Error,deploy,high,"Token, role, or filesystem permission denied",267.0
"2026-04-01T17:22:23.000Z ##[group]Run CI for facebook/react
2026-04-01T17:22:23.000Z Runner image: windows-latest
2026-04-01T17:22:23.000Z Language: python
2026-04-01T17:22:23.000Z make build-ci -j4
2026-04-01T17:22:23.000Z gcc: fatal error: cannot execute 'cc1plus': No such file or directory
2026-04-01T17:22:23.000Z ##[error]Build failed with exit code 2",2026-04-01t17:22:23.000z group run ci for facebook/react 2026-04-01t17:22:23.000z runner image: windows-latest 2026-04-01t17:22:23.000z language: python 2026-04-01t17:22:23.000z make build-ci -j4 2026-04-01t17:22:23.000z gcc: fatal,Build Failure,build,high,Compilation or packaging process failed,231.0
"2026-04-02T07:16:51.000Z ##[group]Run CI for angular/angular
2026-04-02T07:16:51.000Z Runner image: windows-latest
2026-04-02T07:16:51.000Z Language: python
2026-04-02T07:16:51.000Z Starting module router
2026-04-02T07:16:51.000Z Traceback (most recent call last): ValueError: invalid state transition in router
2026-04-02T07:16:51.000Z ##[error]Runtime exception in test process",2026-04-02t07:16:51.000z group run ci for angular/angular 2026-04-02t07:16:51.000z runner image: windows-latest 2026-04-02t07:16:51.000z language: python 2026-04-02t07:16:51.000z starting module router 2026-04-02t07:16:51.000z traceback most,Runtime Error,test,medium,Unhandled exception during job execution,241.0
"2026-04-01T14:36:06.000Z ##[group]Run CI for facebook/react
2026-04-01T14:36:06.000Z Runner image: windows-latest
2026-04-01T14:36:06.000Z Language: rust
2026-04-01T14:36:06.000Z helm upgrade --install api ./charts/api
2026-04-01T14:36:06.000Z Error: UPGRADE FAILED: timed out waiting for the condition
2026-04-01T14:36:06.000Z ##[error]Deployment failed in production stage",2026-04-01t14:36:06.000z group run ci for facebook/react 2026-04-01t14:36:06.000z runner image: windows-latest 2026-04-01t14:36:06.000z language: rust 2026-04-01t14:36:06.000z helm upgrade --install api ./charts/api 2026-04-01t14:36:06.000z,Deployment Error,deploy,high,Release or deployment command failed,240.0
"2026-04-01T08:31:50.000Z ##[group]Run CI for microsoft/vscode
2026-04-01T08:31:50.000Z Runner image: macos-latest
2026-04-01T08:31:50.000Z Language: rust
2026-04-01T08:31:50.000Z ERROR: Module not found: Cannot resolve 'spring-core'
2026-04-01T08:31:50.000Z npm ERR! code E404
2026-04-01T08:31:50.000Z ##[error]Dependency installation failed",2026-04-01t08:31:50.000z group run ci for microsoft/vscode 2026-04-01t08:31:50.000z runner image: macos-latest 2026-04-01t08:31:50.000z language: rust 2026-04-01t08:31:50.000z error: module not found: cannot resolve,Dependency Error,build,high,Missing package or unresolved module dependency,215.0
"2026-04-01T16:21:27.000Z ##[group]Run CI for django/django
2026-04-01T16:21:27.000Z Runner image: ubuntu-latest
2026-04-01T16:21:27.000Z Language: rust
2026-04-01T16:21:27.000Z validating .github/workflows/ci.yml
2026-04-01T16:21:27.000Z workflow syntax error: Unexpected value 'stepz'
2026-04-01T16:21:27.000Z ##[error]Invalid workflow configuration",2026-04-01t16:21:27.000z group run ci for django/django 2026-04-01t16:21:27.000z runner image: ubuntu-latest 2026-04-01t16:21:27.000z language: rust 2026-04-01t16:21:27.000z validating .github/workflows/ci.yml 2026-04-01t16:21:27.000z workflow syntax error:,Configuration Error,build,high,Invalid workflow configuration or environment variable,257.0
"2026-04-04T22:42:42.000Z ##[group]Run CI for microsoft/vscode
2026-04-04T22:42:42.000Z Runner image: ubuntu-latest
2026-04-04T22:42:42.000Z Language: rust
2026-04-04T22:42:42.000Z helm upgrade --install api ./charts/api
2026-04-04T22:42:42.000Z Error: UPGRADE FAILED: timed out waiting for the condition
2026-04-04T22:42:42.000Z ##[error]Deployment failed in production stage",2026-04-04t22:42:42.000z group run ci for microsoft/vscode 2026-04-04t22:42:42.000z runner image: ubuntu-latest 2026-04-04t22:42:42.000z language: rust 2026-04-04t22:42:42.000z helm upgrade --install api ./charts/api 2026-04-04t22:42:42.000z,Deployment Error,deploy,high,Release or deployment command failed,
"2026-04-01T07:30:53.000Z ##[group]Run CI for django/django
2026-04-01T07:30:53.000Z Runner image: windows-latest
2026-04-01T07:30:53.000Z Language: rust
2026-04-01T07:30:53.000Z FAIL tests/integration/test_auth_flow.py
2026-04-01T07:30:53.000Z AssertionError: expected 4 but received 11
2026-04-01T07:30:53.000Z ##[error]Test suite failed with exit code 1",2026-04-01t07:30:53.000z group run ci for django/django 2026-04-01t07:30:53.000z runner image: windows-latest 2026-04-01t07:30:53.000z language: rust 2026-04-01t07:30:53.000z fail tests/integration/test_auth_flow.py 2026-04-01t07:30:53.000z assertionerror: expected 4,Test Failure,test,medium,Assertion mismatch in CI test suite,267.0
"2026-04-02T00:20:40.000Z ##[group]Run CI for nodejs/node
2026-04-02T00:20:40.000Z Runner image: windows-latest
2026-04-02T00:20:40.000Z Language: java
2026-04-02T00:20:40.000Z Pulling cache layer from registry
2026-04-02T00:20:40.000Z error: failed to solve: no space left on device
2026-04-02T00:20:40.000Z ##[error]Runner disk pressure caused job failure",2026-04-02t00:20:40.000z group run ci for nodejs/node 2026-04-02t00:20:40.000z runner image: windows-latest 2026-04-02t00:20:40.000z language: java 2026-04-02t00:20:40.000z pulling cache layer from registry 2026-04-02t00:20:40.000z,Infrastructure Error,build,high,Runner or external service instability,231.0
"2026-04-12T09:00:08.000Z ##[group]Run CI for tensorflow/tensorflow
2026-04-12T09:00:08.000Z Runner image: windows-latest
2026-04-12T09:00:08.000Z Language: go
2026-04-12T09:00:08.000Z validating .github/workflows/ci.yml
2026-04-12T09:00:08.000Z workflow syntax error: Unexpected value 'stepz'
2026-04-12T09:00:08.000Z ##[error]Invalid workflow configuration",2026-04-12t09:00:08.000z group run ci for tensorflow/tensorflow 2026-04-12t09:00:08.000z runner image: windows-latest 2026-04-12t09:00:08.000z language: go 2026-04-12t09:00:08.000z validating .github/workflows/ci.yml 2026-04-12t09:00:08.000z workflow syntax error:,Configuration Error,build,high,Invalid workflow configuration or environment variable,
"2026-04-12T05:39:43.000Z ##[group]Run CI for pytorch/pytorch
2026-04-12T05:39:43.000Z Runner image: windows-latest
2026-04-12T05:39:43.000Z Language: go
2026-04-12T05:39:43.000Z helm upgrade --install api ./charts/api
2026-04-12T05:39:43.000Z Error: UPGRADE FAILED: timed out waiting for the condition
2026-04-12T05:39:43.000Z ##[error]Deployment failed in production stage",2026-04-12t05:39:43.000z group run ci for pytorch/pytorch 2026-04-12t05:39:43.000z runner image: windows-latest 2026-04-12t05:39:43.000z language: go 2026-04-12t05:39:43.000z helm upgrade --install api ./charts/api 2026-04-12t05:39:43.000z,Deployment Error,deploy,high,Release or deployment command failed,
"2026-04-08T14:30:28.000Z ##[group]Run CI for apache/spark
2026-04-08T14:30:28.000Z Runner image: ubuntu-latest
2026-04-08T14:30:28.000Z Language: go
2026-04-08T14:30:28.000Z helm upgrade --install api ./charts/api
2026-04-08T14:30:28.000Z Error: UPGRADE FAILED: timed out waiting for the condition
2026-04-08T14:30:28.000Z ##[error]Deployment failed in production stage",2026-04-08t14:30:28.000z group run ci for apache/spark 2026-04-08t14:30:28.000z runner image: ubuntu-latest 2026-04-08t14:30:28.000z language: go 2026-04-08t14:30:28.000z helm upgrade --install api ./charts/api 2026-04-08t14:30:28.000z,Deployment Error,deploy,high,Release or deployment command failed,
"2026-04-01T20:48:45.000Z ##[group]Run CI for pytorch/pytorch
2026-04-01T20:48:45.000Z Runner image: macos-latest
2026-04-01T20:48:45.000Z Language: go
2026-04-01T20:48:45.000Z pytest -m integration --maxfail=1
2026-04-01T20:48:45.000Z Error: Process timed out after 30 minutes
2026-04-01T20:48:45.000Z ##[error]The operation was canceled",2026-04-01t20:48:45.000z group run ci for pytorch/pytorch 2026-04-01t20:48:45.000z runner image: macos-latest 2026-04-01t20:48:45.000z language: go 2026-04-01t20:48:45.000z pytest -m integration --maxfail 1 2026-04-01t20:48:45.000z,Timeout Error,test,medium,Long-running step exceeded CI timeout threshold,231.0
"2026-04-01T13:12:01.000Z ##[group]Run CI for facebook/react
2026-04-01T13:12:01.000Z Runner image: windows-latest
2026-04-01T13:12:01.000Z Language: java
2026-04-01T13:12:01.000Z src/router/handler.py:127: SyntaxError: unexpected token '@'
2026-04-01T13:12:01.000Z pylint: E0001 syntax-error
2026-04-01T13:12:01.000Z ##[error]Build stopped due to syntax error",2026-04-01t13:12:01.000z group run ci for facebook/react 2026-04-01t13:12:01.000z runner image: windows-latest 2026-04-01t13:12:01.000z language: java 2026-04-01t13:12:01.000z src/router/handler.py:127: syntaxerror: unexpected token 2026-04-01t13:12:01.000z pylint:,Syntax Error,build,high,Invalid code syntax detected by compiler or linter,265.0
"2026-04-01T21:52:30.000Z ##[group]Run CI for angular/angular
2026-04-01T21:52:30.000Z Runner image: ubuntu-latest
2026-04-01T21:52:30.000Z Language: java
2026-04-01T21:52:30.000Z helm upgrade --install api ./charts/api
2026-04-01T21:52:30.000Z Error: UPGRADE FAILED: timed out waiting for the condition
2026-04-01T21:52:30.000Z ##[error]Deployment failed in production stage",2026-04-01t21:52:30.000z group run ci for angular/angular 2026-04-01t21:52:30.000z runner image: ubuntu-latest 2026-04-01t21:52:30.000z language: java 2026-04-01t21:52:30.000z helm upgrade --install api ./charts/api 2026-04-01t21:52:30.000z,Deployment Error,deploy,high,Release or deployment command failed,240.0
"2026-04-01T07:02:13.000Z ##[group]Run CI for angular/angular
2026-04-01T07:02:13.000Z Runner image: windows-latest
2026-04-01T07:02:13.000Z Language: python
2026-04-01T07:02:13.000Z FAIL packages/react-dom/src/__tests__/hydration.test.js
2026-04-01T07:02:13.000Z AssertionError: expected 9 but received 20
2026-04-01T07:02:13.000Z ##[error]Test suite failed with exit code 1",2026-04-01t07:02:13.000z group run ci for angular/angular 2026-04-01t07:02:13.000z runner image: windows-latest 2026-04-01t07:02:13.000z language: python 2026-04-01t07:02:13.000z fail packages/react-dom/src/__tests__/hydration.test.js 2026-04-01t07:02:13.000z assertionerror: expected 9,Test Failure,test,medium,Assertion mismatch in CI test suite,286.0
"2026-04-01T21:57:55.000Z ##[group]Run CI for vercel/next.js
2026-04-01T21:57:55.000Z Runner image: windows-latest
2026-04-01T21:57:55.000Z Language: rust
2026-04-01T21:57:55.000Z aws secretsmanager get-secret-value --secret-id docker-token
2026-04-01T21:57:55.000Z AccessDeniedException: User is not authorized to perform secretsmanager:GetSecretValue
2026-04-01T21:57:55.000Z ##[error]permission denied while accessing deployment secret",2026-04-01t21:57:55.000z group run ci for vercel/next.js 2026-04-01t21:57:55.000z runner image: windows-latest 2026-04-01t21:57:55.000z language: rust 2026-04-01t21:57:55.000z aws secretsmanager get-secret-value --secret-id docker-token 2026-04-01t21:57:55.000z,Permission Error,deploy,high,"Token, role, or filesystem permission denied",261.0
2026-04-02T18:00:54.6250232Z PASS packages/react-reconciler/src/__tests__/ReactIncrementalErrorLogging-test.js 2026-04-02T18:00:52.8220455Z PASS packages/react-reconciler/src/__tests__/ReactConfigurableErrorLogging-test.js 2026-04-02T18:00:53.8075226Z PASS packages/react-reconciler/src/__tests__/ActivityErrorHandling-test.js 2026-04-02T18:00:52.2645159Z PASS packages/react-dom/src/__tests__/ReactDOMConsoleErrorReportingLegacy-test.js 2026-04-02T18:00:53.5548860Z PASS packages/react-reconciler/src/__tests__/ReactFlushSyncNoAggregateError-test.js,tz pass packagesreactreconcilersrctestsreactincrementalerrorloggingtestjs tz pass,Test Failure,test,medium,Assertion or test case failure,81.0
"2026-04-02T07:32:22.000Z ##[group]Run CI for vercel/next.js
2026-04-02T07:32:22.000Z Runner image: macos-latest
2026-04-02T07:32:22.000Z Language: python
2026-04-02T07:32:22.000Z Starting module auth
2026-04-02T07:32:22.000Z Traceback (most recent call last): ValueError: invalid state transition in auth
2026-04-02T07:32:22.000Z ##[error]Runtime exception in test process",2026-04-02t07:32:22.000z group run ci for vercel/next.js 2026-04-02t07:32:22.000z runner image: macos-latest 2026-04-02t07:32:22.000z language: python 2026-04-02t07:32:22.000z starting module auth 2026-04-02t07:32:22.000z traceback most,Runtime Error,test,medium,Unhandled exception during job execution,236.0
"2026-04-01T07:24:45.000Z ##[group]Run CI for vercel/next.js
2026-04-01T07:24:45.000Z Runner image: macos-latest
2026-04-01T07:24:45.000Z Language: node
2026-04-01T07:24:45.000Z FAIL tests/integration/test_auth_flow.py
2026-04-01T07:24:45.000Z AssertionError: expected 4 but received 12
2026-04-01T07:24:45.000Z ##[error]Test suite failed with exit code 1",2026-04-01t07:24:45.000z group run ci for vercel/next.js 2026-04-01t07:24:45.000z runner image: macos-latest 2026-04-01t07:24:45.000z language: node 2026-04-01t07:24:45.000z fail tests/integration/test_auth_flow.py 2026-04-01t07:24:45.000z assertionerror: expected 4,Test Failure,test,medium,Assertion mismatch in CI test suite,266.0
"2026-04-01T14:51:51.000Z ##[group]Run CI for microsoft/vscode
2026-04-01T14:51:51.000Z Runner image: macos-latest
2026-04-01T14:51:51.000Z Language: python
2026-04-01T14:51:51.000Z helm upgrade --install api ./charts/api
2026-04-01T14:51:51.000Z Error: UPGRADE FAILED: timed out waiting for the condition
2026-04-01T14:51:51.000Z ##[error]Deployment failed in production stage",2026-04-01t14:51:51.000z group run ci for microsoft/vscode 2026-04-01t14:51:51.000z runner image: macos-latest 2026-04-01t14:51:51.000z language: python 2026-04-01t14:51:51.000z helm upgrade --install api ./charts/api 2026-04-01t14:51:51.000z,Deployment Error,deploy,high,Release or deployment command failed,242.0
"2026-04-02T05:24:13.000Z ##[group]Run CI for apache/spark
2026-04-02T05:24:13.000Z Runner image: macos-latest
2026-04-02T05:24:13.000Z Language: java
2026-04-02T05:24:13.000Z make build-ci -j4
2026-04-02T05:24:13.000Z gcc: fatal error: cannot execute 'cc1plus': No such file or directory
2026-04-02T05:24:13.000Z ##[error]Build failed with exit code 2",2026-04-02t05:24:13.000z group run ci for apache/spark 2026-04-02t05:24:13.000z runner image: macos-latest 2026-04-02t05:24:13.000z language: java 2026-04-02t05:24:13.000z make build-ci -j4 2026-04-02t05:24:13.000z gcc: fatal,Build Failure,build,high,Compilation or packaging process failed,225.0
"2026-04-01T19:48:14.000Z ##[group]Run CI for angular/angular
2026-04-01T19:48:14.000Z Runner image: macos-latest
2026-04-01T19:48:14.000Z Language: node
2026-04-01T19:48:14.000Z pytest -m integration --maxfail=1
2026-04-01T19:48:14.000Z Error: Process timed out after 10 minutes
2026-04-01T19:48:14.000Z ##[error]The operation was canceled",2026-04-01t19:48:14.000z group run ci for angular/angular 2026-04-01t19:48:14.000z runner image: macos-latest 2026-04-01t19:48:14.000z language: node 2026-04-01t19:48:14.000z pytest -m integration --maxfail 1 2026-04-01t19:48:14.000z,Timeout Error,test,medium,Long-running step exceeded CI timeout threshold,233.0
"2026-04-01T07:36:26.000Z ##[group]Run CI for angular/angular
2026-04-01T07:36:26.000Z Runner image: macos-latest
2026-04-01T07:36:26.000Z Language: python
2026-04-01T07:36:26.000Z FAIL compiler/src/tests/error_reporting.rs
2026-04-01T07:36:26.000Z AssertionError: expected 10 but received 19
2026-04-01T07:36:26.000Z ##[error]Test suite failed with exit code 1",2026-04-01t07:36:26.000z group run ci for angular/angular 2026-04-01t07:36:26.000z runner image: macos-latest 2026-04-01t07:36:26.000z language: python 2026-04-01t07:36:26.000z fail compiler/src/tests/error_reporting.rs 2026-04-01t07:36:26.000z assertionerror: expected 10,Test Failure,test,medium,Assertion mismatch in CI test suite,272.0
"2026-04-15T18:12:20.000Z ##[group]Run CI for django/django
2026-04-15T18:12:20.000Z Runner image: macos-latest
2026-04-15T18:12:20.000Z Language: python
2026-04-15T18:12:20.000Z Starting module scheduler
2026-04-15T18:12:20.000Z Traceback (most recent call last): ValueError: invalid state transition in scheduler
2026-04-15T18:12:20.000Z ##[error]Runtime exception in test process",2026-04-15t18:12:20.000z group run ci for django/django 2026-04-15t18:12:20.000z runner image: macos-latest 2026-04-15t18:12:20.000z language: python 2026-04-15t18:12:20.000z starting module scheduler 2026-04-15t18:12:20.000z traceback most,Runtime Error,test,medium,Unhandled exception during job execution,
"2026-04-01T19:16:32.000Z ##[group]Run CI for django/django
2026-04-01T19:16:32.000Z Runner image: macos-latest
2026-04-01T19:16:32.000Z Language: rust
2026-04-01T19:16:32.000Z pytest -m integration --maxfail=1
2026-04-01T19:16:32.000Z Error: Process timed out after 30 minutes
2026-04-01T19:16:32.000Z ##[error]The operation was canceled",2026-04-01t19:16:32.000z group run ci for django/django 2026-04-01t19:16:32.000z runner image: macos-latest 2026-04-01t19:16:32.000z language: rust 2026-04-01t19:16:32.000z pytest -m integration --maxfail 1 2026-04-01t19:16:32.000z,Timeout Error,test,medium,Long-running step exceeded CI timeout threshold,231.0
"2026-04-04T19:48:47.000Z ##[group]Run CI for django/django
2026-04-04T19:48:47.000Z Runner image: windows-latest
2026-04-04T19:48:47.000Z Language: python
2026-04-04T19:48:47.000Z src/compiler/handler.py:36: SyntaxError: unexpected token ')'
2026-04-04T19:48:47.000Z pylint: E0001 syntax-error
2026-04-04T19:48:47.000Z ##[error]Build stopped due to syntax error",2026-04-04t19:48:47.000z group run ci for django/django 2026-04-04t19:48:47.000z runner image: windows-latest 2026-04-04t19:48:47.000z language: python 2026-04-04t19:48:47.000z src/compiler/handler.py:36: syntaxerror: unexpected token 2026-04-04t19:48:47.000z pylint:,Syntax Error,build,high,Invalid code syntax detected by compiler or linter,
"2026-04-01T15:58:04.000Z ##[group]Run CI for nodejs/node
2026-04-01T15:58:04.000Z Runner image: macos-latest
2026-04-01T15:58:04.000Z Language: go
2026-04-01T15:58:04.000Z aws secretsmanager get-secret-value --secret-id docker-token
2026-04-01T15:58:04.000Z AccessDeniedException: User is not authorized to perform secretsmanager:GetSecretValue
2026-04-01T15:58:04.000Z ##[error]permission denied while accessing deployment secret",2026-04-01t15:58:04.000z group run ci for nodejs/node 2026-04-01t15:58:04.000z runner image: macos-latest 2026-04-01t15:58:04.000z language: go 2026-04-01t15:58:04.000z aws secretsmanager get-secret-value --secret-id docker-token 2026-04-01t15:58:04.000z,Permission Error,deploy,high,"Token, role, or filesystem permission denied",254.0
"2026-04-01T18:00:17.000Z ##[group]Run CI for microsoft/vscode
2026-04-01T18:00:17.000Z Runner image: macos-latest
2026-04-01T18:00:17.000Z Language: go
2026-04-01T18:00:17.000Z make build-ci -j4
2026-04-01T18:00:17.000Z gcc: fatal error: cannot execute 'cc1plus': No such file or directory
2026-04-01T18:00:17.000Z ##[error]Build failed with exit code 2",2026-04-01t18:00:17.000z group run ci for microsoft/vscode 2026-04-01t18:00:17.000z runner image: macos-latest 2026-04-01t18:00:17.000z language: go 2026-04-01t18:00:17.000z make build-ci -j4 2026-04-01t18:00:17.000z gcc: fatal,Build Failure,build,high,Compilation or packaging process failed,227.0
